,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,index,archive_index_number,timestamp,non_event_flag,over_freq_flag,over_freq_index,under_freq_flag,under_freq_index,ambig_flag,severity_desc,file_name,ABC_values,Event Check
52,52,52,52,52,52,52,52.0,52,52.0,52,52,52,52,52,52,1494,2019-08-04 8:09:22,False,False,,True,6016.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-04-08-12_925.csv,"[nan, nan, nan]",
53,53,53,53,53,53,53,53.0,53,53.0,53,53,53,53,53,53,1540,2019-08-04 10:12:02,False,True,7743.0,True,5440.0,True,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-04-10-14_971.csv,"[nan, nan, nan]",
54,54,54,54,54,54,54,54.0,54,54.0,54,54,54,54,54,54,1541,2019-08-04 10:14:42,False,False,,True,0.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-04-10-17_972.csv,"[nan, nan, nan]",
55,55,55,55,55,55,55,55.0,55,55.0,55,55,55,55,55,55,1544,2019-08-04 10:22:42,False,False,,True,0.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-04-10-25_975.csv,"[nan, nan, nan]",
56,56,56,56,56,56,56,56.0,56,56.0,56,56,56,56,56,56,1549,2019-08-04 10:36:02,False,False,,True,4241.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-04-10-38_980.csv,"[nan, nan, nan]",
57,57,57,57,57,57,57,57.0,57,57.0,57,57,57,57,57,57,1557,2019-08-04 10:57:22,False,True,862.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-04-11-00_988.csv,"[nan, nan, nan]",
58,58,58,58,58,58,58,58.0,58,58.0,58,58,58,58,58,58,1562,2019-08-04 11:10:42,False,False,,True,2921.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-04-11-13_993.csv,"[nan, nan, nan]",
59,59,59,59,59,59,59,59.0,59,59.0,59,59,59,59,59,59,1563,2019-08-04 11:13:22,False,True,8358.0,True,50.0,True,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-04-11-16_994.csv,"[nan, nan, nan]",
60,60,60,60,60,60,60,60.0,60,60.0,60,60,60,60,60,60,1636,2019-08-04 14:28:02,False,False,,True,7198.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-04-14-30_1067.csv,"[nan, nan, nan]",
61,61,61,61,61,61,61,61.0,61,61.0,61,61,61,61,61,61,1661,2019-08-04 15:34:42,False,False,,True,2896.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-04-15-37_1092.csv,"[nan, nan, nan]",
62,62,62,62,62,62,62,62.0,62,62.0,62,62,62,62,62,62,1670,2019-08-04 15:58:42,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-04-16-01_1101.csv,"[nan, nan, nan]",
63,63,63,63,63,63,63,63.0,63,63.0,63,63,63,63,63,63,1704,2019-08-04 17:29:22,False,True,9732.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-04-17-32_1135.csv,"[nan, nan, nan]",
64,64,64,64,64,64,64,64.0,64,64.0,64,64,64,64,64,64,1782,2019-08-04 20:57:22,False,True,1585.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-04-21-00_1213.csv,"[nan, nan, nan]",
65,65,65,65,65,65,65,65.0,65,65.0,65,65,65,65,65,65,1839,2019-08-04 23:29:22,False,True,1638.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-04-23-32_1270.csv,"[nan, nan, nan]",
66,66,66,66,66,66,66,66.0,66,66.0,66,66,66,66,66,66,1864,2019-08-05 0:36:02,False,True,9658.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-05-00-38_1295.csv,"[nan, nan, nan]",
67,67,67,67,67,67,67,67.0,67,67.0,67,67,67,67,67,67,1871,2019-08-05 0:54:42,False,False,,True,5639.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-05-00-57_1302.csv,"[nan, nan, nan]",
68,68,68,68,68,68,68,68.0,68,68.0,68,68,68,68,68,68,1917,2019-08-05 2:57:22,False,True,2926.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-05-03-00_1348.csv,"[nan, nan, nan]",
69,69,69,69,69,69,69,69.0,69,69.0,69,69,69,69,69,69,1950,2019-08-05 4:25:22,False,True,534.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-05-04-28_1381.csv,"[nan, nan, nan]",
70,70,70,70,70,70,70,70.0,70,70.0,70,70,70,70,70,70,1952,2019-08-05 4:30:42,False,False,,True,7531.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-05-04-33_1383.csv,"[nan, nan, nan]",
71,71,71,71,71,71,71,71.0,71,71.0,71,71,71,71,71,71,1982,2019-08-05 5:50:43,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-05-05-53_1413.csv,"[nan, nan, nan]",
72,72,72,72,72,72,72,72.0,72,72.0,72,72,72,72,72,72,1983,2019-08-05 5:53:23,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-05-05-56_1414.csv,"[nan, nan, nan]",
73,73,73,73,73,73,73,73.0,73,73.0,73,73,73,73,73,73,1984,2019-08-05 5:56:03,False,True,4777.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-05-05-58_1415.csv,"[nan, nan, nan]",
74,74,74,74,74,74,74,74.0,74,74.0,74,74,74,74,74,74,1987,2019-08-05 6:04:03,False,True,6323.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-05-06-06_1418.csv,"[nan, nan, nan]",
75,75,75,75,75,75,75,75.0,75,75.0,75,75,75,75,75,75,1989,2019-08-05 6:09:23,False,True,893.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-05-06-12_1420.csv,"[nan, nan, nan]",
76,76,76,76,76,76,76,76.0,76,76.0,76,76,76,76,76,76,2001,2019-08-05 6:41:23,False,True,965.0,True,967.0,True,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-05-06-44_1432.csv,"[nan, nan, nan]",
77,77,77,77,77,77,77,77.0,77,77.0,77,77,77,77,77,77,2002,2019-08-05 6:44:03,False,True,5403.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-05-06-46_1433.csv,"[nan, nan, nan]",
78,78,78,78,78,78,78,78.0,78,78.0,78,78,78,78,78,78,2007,2019-08-05 6:57:23,False,True,0.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-05-07-00_1438.csv,"[nan, nan, nan]",
79,79,79,79,79,79,79,79.0,79,79.0,79,79,79,79,79,79,2036,2019-08-05 8:14:43,False,True,1583.0,True,6796.0,True,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-05-08-17_1467.csv,"[nan, nan, nan]",
80,80,80,80,80,80,80,80.0,80,80.0,80,80,80,80,80,80,2058,2019-08-05 9:13:23,False,True,6846.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-05-09-16_1489.csv,"[nan, nan, nan]",
81,81,81,81,81,81,81,81.0,81,81.0,81,81,81,81,81,81,2075,2019-08-05 9:58:43,False,False,,True,2116.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-05-10-01_1506.csv,"[nan, nan, nan]",
82,82,82,82,82,82,82,82.0,82,82.0,82,82,82,82,82,82,2091,2019-08-05 10:41:23,False,False,,True,944.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-05-10-44_1522.csv,"[nan, nan, nan]",
83,83,83,83,83,83,83,83.0,83,83.0,83,83,83,83,83,83,2103,2019-08-05 11:13:23,False,True,7544.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-05-11-16_1534.csv,"[nan, nan, nan]",
84,84,84,84,84,84,84,84.0,84,84.0,84,84,84,84,84,84,2108,2019-08-05 11:26:43,False,False,,True,436.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-05-11-29_1539.csv,"[nan, nan, nan]",
85,85,85,85,85,85,85,85.0,85,85.0,85,85,85,85,85,85,2173,2019-08-05 14:31:28,False,False,,True,6127.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-05-14-34_10.csv,"[nan, nan, nan]",
86,86,86,86,86,86,86,86.0,86,86.0,86,86,86,86,86,86,2236,2019-08-05 17:19:28,False,False,,True,565.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-05-17-22_73.csv,"[nan, nan, nan]",
87,87,87,87,87,87,87,87.0,87,87.0,87,87,87,87,87,87,2237,2019-08-05 17:22:08,False,True,4120.0,True,3.0,True,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-05-17-24_74.csv,"[nan, nan, nan]",
88,88,88,88,88,88,88,88.0,88,88.0,88,88,88,88,88,88,2301,2019-08-05 20:12:48,False,True,24.0,True,6592.0,True,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-05-20-15_138.csv,"[nan, nan, nan]",
89,89,89,89,89,89,89,89.0,89,89.0,89,89,89,89,89,89,2363,2019-08-05 22:58:08,False,True,0.0,True,6628.0,True,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-05-23-00_200.csv,"[nan, nan, nan]",
90,90,90,90,90,90,90,90.0,90,90.0,90,90,90,90,90,90,2437,2019-08-06 2:15:28,False,False,,True,7137.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-06-02-18_274.csv,"[nan, nan, nan]",
91,91,91,91,91,91,91,91.0,91,91.0,91,91,91,91,91,91,2459,2019-08-06 3:14:08,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-06-03-16_296.csv,"[nan, nan, nan]",
92,92,92,92,92,92,92,92.0,92,92.0,92,92,92,92,92,92,2460,2019-08-06 3:16:48,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-06-03-19_297.csv,"[nan, nan, nan]",
93,93,93,93,93,93,93,93.0,93,93.0,93,93,93,93,93,93,2527,2019-08-06 6:18:08,False,False,,True,1310.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-06-06-20_365.csv,"[nan, nan, nan]",
94,94,94,94,94,94,94,94.0,94,94.0,94,94,94,94,94,94,2539,2019-08-06 6:50:08,False,False,,True,0.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-06-06-52_377.csv,"[nan, nan, nan]",
95,95,95,95,95,95,95,95.0,95,95.0,95,95,95,95,95,95,2557,2019-08-06 7:38:08,False,False,,True,1.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-06-07-40_395.csv,"[nan, nan, nan]",
96,96,96,96,96,96,96,96.0,96,96.0,96,96,96,96,96,96,2559,2019-08-06 7:43:28,False,True,7372.0,True,6170.0,True,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-06-07-46_397.csv,"[nan, nan, nan]",
97,97,97,97,97,97,97,97.0,97,97.0,97,97,97,97,97,97,2576,2019-08-06 8:28:48,False,True,2532.0,True,355.0,True,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-06-08-31_414.csv,"[nan, nan, nan]",
98,98,98,98,98,98,98,98.0,98,98.0,98,98,98,98,98,98,2616,2019-08-06 10:15:28,False,True,5190.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-06-10-18_454.csv,"[nan, nan, nan]",
99,99,99,99,99,99,99,99.0,99,99.0,99,99,99,99,99,99,2629,2019-08-06 10:50:08,False,True,1.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-06-10-52_467.csv,"[nan, nan, nan]",
100,100,100,100,100,100,100,100.0,100,100.0,100,100,100,100,100,100,2657,2019-08-06 12:06:09,False,False,,True,1.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-06-12-08_1.csv,"[nan, nan, nan]",
101,101,101,101,101,101,101,101.0,101,101.0,101,101,101,101,101,101,2676,2019-08-06 12:58:26,False,False,,True,1.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-06-13-01_1.csv,"[nan, nan, nan]",
102,102,102,102,102,102,102,102.0,102,102.0,102,102,102,102,102,102,2712,2019-08-06 14:34:26,False,True,2092.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-06-14-37_37.csv,"[nan, nan, nan]",
103,103,103,103,103,103,103,103.0,103,103.0,103,103,103,103,103,103,2741,2019-08-06 15:51:46,False,False,,True,1494.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-06-15-54_66.csv,"[nan, nan, nan]",
104,104,104,104,104,104,104,104.0,104,104.0,104,104,104,104,104,104,2769,2019-08-06 17:06:26,False,False,,True,687.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-06-17-09_94.csv,"[nan, nan, nan]",
105,105,105,105,105,105,105,105.0,105,105.0,105,105,105,105,105,105,2779,2019-08-06 17:33:06,False,True,1077.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-06-17-35_104.csv,"[nan, nan, nan]",
106,106,106,106,106,106,106,106.0,106,106.0,106,106,106,106,106,106,2809,2019-08-06 18:53:06,False,True,3.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-06-18-55_134.csv,"[nan, nan, nan]",
107,107,107,107,107,107,107,107.0,107,107.0,107,107,107,107,107,107,2814,2019-08-06 19:06:26,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-06-19-09_139.csv,"[nan, nan, nan]",
108,108,108,108,108,108,108,108.0,108,108.0,108,108,108,108,108,108,2871,2019-08-06 21:38:26,False,False,,True,3620.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-06-21-41_196.csv,"[nan, nan, nan]",
109,109,109,109,109,109,109,109.0,109,109.0,109,109,109,109,109,109,2882,2019-08-06 22:07:46,False,False,,True,50.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-06-22-10_207.csv,"[nan, nan, nan]",
110,110,110,110,110,110,110,110.0,110,110.0,110,110,110,110,110,110,2914,2019-08-06 23:33:06,False,True,0.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-08-06-23-35_239.csv,"[nan, nan, nan]",
